Row_ID,Order_ID,Order_Date,Ship_Date,Ship_Mode,Customer_ID,Customer_Name,Segment,Country,City,State,Postal_Code,Region,Product_ID,Category,Sub_Category,Product_Name,Sales,Quantity,Discount,Profit
1,ORD-100001,16-10-2024,17-10-2024,Standard Class,CUST-1001,Customer_1,Home Office,India,Mumbai,Maharashtra,400001,West,PROD-10001,Office Supplies,Paper,Paper Product 1,1262.21,3,0,276.64
2,ORD-100002,08-03-2024,09-03-2024,Same Day,CUST-1002,Customer_2,Consumer,India,Mumbai,Maharashtra,400001,West,PROD-10002,Technology,Phones,Phones Product 2,1201.67,10,0,228.69
3,ORD-100003,04-04-2024,09-04-2024,First Class,CUST-1003,Customer_3,Consumer,India,Delhi,Delhi,110001,North,PROD-10003,Technology,Phones,Phones Product 3,3505.79,6,0.1,241.44
4,ORD-100004,05-04-2023,09-04-2023,Same Day,CUST-1004,Customer_4,Consumer,India,Mumbai,Maharashtra,400001,West,PROD-10004,Furniture,Tables,Tables Product 4,3038.44,1,0.15,468.09
5,ORD-100005,19-07-2024,22-07-2024,Standard Class,CUST-1005,Customer_5,Consumer,India,Chennai,Tamil Nadu,600001,South,PROD-10005,Office Supplies,Storage,Storage Product 5,4432.99,6,0.2,257.43
6,ORD-100006,08-11-2024,10-11-2024,First Class,CUST-1006,Customer_6,Consumer,India,Chennai,Tamil Nadu,600001,South,PROD-10006,Furniture,Chairs,Chairs Product 6,4283.82,2,0.15,383.37
7,ORD-100007,15-01-2024,18-01-2024,Second Class,CUST-1007,Customer_7,Consumer,India,Pune,Maharashtra,411001,West,PROD-10007,Office Supplies,Paper,Paper Product 7,3524.01,2,0.2,594.66
8,ORD-100008,18-04-2024,22-04-2024,Standard Class,CUST-1008,Customer_8,Corporate,India,Delhi,Delhi,110001,North,PROD-10008,Office Supplies,Storage,Storage Product 8,2806.9,6,0,301.07
9,ORD-100009,15-02-2024,18-02-2024,Same Day,CUST-1009,Customer_9,Home Office,India,Mumbai,Maharashtra,400001,West,PROD-10009,Technology,Machines,Machines Product 9,4388.02,6,0.05,894.54
10,ORD-100010,14-04-2024,16-04-2024,Same Day,CUST-1010,Customer_10,Home Office,India,Delhi,Delhi,110001,North,PROD-10010,Technology,Phones,Phones Product 10,3737.7,9,0.1,810.16
